date,close,signal,target_pos_pct,pos_today_pct,action
2026-08-06,8.91,0,0.0,0.0,空仓等待
2026-08-07,9.08,0,0.0,0.0,空仓等待
2026-08-10,9.99,0,0.0,0.0,空仓等待
2026-08-11,9.57,0,0.0,0.0,空仓等待
2026-08-12,9.46,0,0.0,0.0,空仓等待
2026-08-13,9.61,0,0.0,0.0,空仓等待
2026-08-14,9.17,0,0.0,0.0,空仓等待
2026-08-17,9.06,0,0.0,0.0,空仓等待
2026-08-18,8.92,0,0.0,0.0,空仓等待
2026-08-19,8.52,0,0.0,0.0,空仓等待
2026-08-20,9.37,0,0.0,0.0,空仓等待
2026-08-21,10.31,0,0.0,0.0,空仓等待
2026-08-24,9.7,0,0.0,0.0,空仓等待
2026-08-25,9.51,0,0.0,0.0,空仓等待
2026-08-27,9.39,0,0.0,0.0,空仓等待
2026-08-28,9.03,0,0.0,0.0,空仓等待
2026-08-31,8.92,0,0.0,0.0,空仓等待
2026-09-01,9.15,0,0.0,0.0,空仓等待
2026-09-02,9.04,0,0.0,0.0,空仓等待
2026-09-03,8.81,0,0.0,0.0,空仓等待
